toilet_id,object_id,object_id_1,address,bmc_department,female_facilities,male_facilities,ward_code_source,twitter,latitude,longitude,source,source_file,verification_status,total_facilities,coordinate_valid
11177608-883d-45d6-9835-0701adc06d93,1650,1650,"Azad Nagar,Behind Pay & Use Seva Shauchalay,Wadarpada No.1,Kandivali(E)",Solid Waste Management,10,14,RS,@mybmcSWM,19.1947222,72.865,BMC/MCGM via OpenCity,mumbai_public_toilets.kml,SOURCE_KML,24,True
1bc5ea37-4511-48be-8fd0-b87d58b601ba,1651,1651,"Ram Villa Chawl,Jalaram Bldg.,Nr.Rly.Stn.,Aakruti Road No.1,Kandivali (E)",Solid Waste Management,2,3,RS,@mybmcSWM,19.2030556,72.8525,BMC/MCGM via OpenCity,mumbai_public_toilets.kml,SOURCE_KML,5,True
fae6fdf4-4fef-490f-aac3-d7925f32fcc2,1652,1652,"Jay Ambe Chawl,Nr.Shiv Shakti Bldg.,Aakruti Road No.1,Kandivali (E)",Solid Waste Management,1,1,RS,@mybmcSWM,19.2038889,72.8533333,BMC/MCGM via OpenCity,mumbai_public_toilets.kml,SOURCE_KML,2,True
cb4a230e-654f-4a6c-a3ae-4317a4cf1d6c,1653,1653,"Patil Chawl,North Side Of Rajguru Flyover Bridge,Sai Baba Temple,Kandivali (E)",Solid Waste Management,5,5,RS,@mybmcSWM,19.1988889,72.8527778,BMC/MCGM via OpenCity,mumbai_public_toilets.kml,SOURCE_KML,10,True
6700e58a-13fc-4740-b4a3-e1d6c244dc73,1654,1654,"Ashok Bhavan Chawl,Nr.Mahadev Temple,M.D.Road,Kandivali (E)",Solid Waste Management,4,3,RS,@mybmcSWM,19.2008333,72.8525,BMC/MCGM via OpenCity,mumbai_public_toilets.kml,SOURCE_KML,7,True
baced8ff-2d77-4874-859a-39fe2f214806,1655,1655,"Sardar Chawl,Kapadiya Collage,Nr.Ashok Bhavan,Kandivali (E)",Solid Waste Management,1,1,RS,@mybmcSWM,19.2011111,72.8525,BMC/MCGM via OpenCity,mumbai_public_toilets.kml,SOURCE_KML,2,True
7e44f39d-4e98-4709-a03b-ad5e1fb62956,1656,1656,"Dudhwala Chawl,Bahadur Singh Chawl,M.D.Road,Kandivali (E)",Solid Waste Management,4,3,RS,@mybmcSWM,19.2016667,72.8525,BMC/MCGM via OpenCity,mumbai_public_toilets.kml,SOURCE_KML,7,True
cf96f06d-5351-4596-b23e-ceefa6d40c88,1657,1657,"Bansibhaya Chawl,Beside Shabnam Bakery,M.D.Road,Kandivali (E) Mumabi",Solid Waste Management,8,4,RS,@mybmcSWM,19.2022222,72.8525,BMC/MCGM via OpenCity,mumbai_public_toilets.kml,SOURCE_KML,12,True
23f59077-c649-4220-b89f-44eb7ff4b0d7,1658,1658,"Kandivali Village,Nr.Nalla,Kandivali (W) Mumbai-67",Solid Waste Management,0,6,RS,@mybmcSWM,19.2072222,72.8397222,BMC/MCGM via OpenCity,mumbai_public_toilets.kml,SOURCE_KML,6,True
477bc4d1-dac9-44df-8482-cdf4ff5a52ab,1659,1659,"Kandivali Village,Nr.Nala,Kandivali (W) Mumbai-67",Solid Waste Management,0,6,RS,@mybmcSWM,19.2072222,72.8397222,BMC/MCGM via OpenCity,mumbai_public_toilets.kml,SOURCE_KML,6,True
599ba233-afe4-46d6-bf51-738bccdb830e,1660,1660,"Kandivali Village,Nr.Nala,Kandivali (W) Mumbai-67",Solid Waste Management,12,0,RS,@mybmcSWM,19.2072222,72.8397222,BMC/MCGM via OpenCity,mumbai_public_toilets.kml,SOURCE_KML,12,True
b4d4008e-54d9-4012-a809-78699aa49a30,1661,1661,"Hindu Samshan Bhumi,Dhahunkarwadi,Jeevan Vidhya Mishan Road,Kandivali (W) Mumbai-67",Solid Waste Management,1,4,RS,@mybmcSWM,19.2066667,72.8372222,BMC/MCGM via OpenCity,mumbai_public_toilets.kml,SOURCE_KML,5,True
0b28c404-b7a9-48cd-9109-3f9c81d4410c,1662,1662,"Kadamwadi,Mahavir Nagar,Kandivali (W) Mumbai-67",Solid Waste Management,2,2,RS,@mybmcSWM,19.2108333,72.8375,BMC/MCGM via OpenCity,mumbai_public_toilets.kml,SOURCE_KML,4,True
bb842321-cfa3-4521-9597-0291ff269df8,1663,1663,"Amul Patil Chawl,Renuka Nagar,Link Road,Kandivali (W) Mumbai-67",Solid Waste Management,3,3,RS,@mybmcSWM,19.2119444,72.8355556,BMC/MCGM via OpenCity,mumbai_public_toilets.kml,SOURCE_KML,6,True
5c0cd70f-04b0-464f-be25-90ed5edea6a9,1664,1664,"Mahalaxmi Welfare Society,Renuka Nagar,Link Road,Kandivali (W) Mumbai-67",Solid Waste Management,8,8,RS,@mybmcSWM,19.2127778,72.835,BMC/MCGM via OpenCity,mumbai_public_toilets.kml,SOURCE_KML,16,True
339879ba-d2e0-447c-8e7c-82df8f3eae2a,1665,1665,"Deep Dharshan,Renuka Nagar,Kandivali (W) Mumba-67",Solid Waste Management,4,3,RS,@mybmcSWM,19.2125,72.8344444,BMC/MCGM via OpenCity,mumbai_public_toilets.kml,SOURCE_KML,7,True
83d121ef-d482-4ec6-b6ff-b4e4a52abcf5,1666,1666,"Renuka Vikas Mandal,Renuka Nagar,Link Road,Kandivali (W) Mumbai-67",Solid Waste Management,6,6,RS,@mybmcSWM,19.2116667,72.8344444,BMC/MCGM via OpenCity,mumbai_public_toilets.kml,SOURCE_KML,12,True
61c5c4fd-ecd3-477c-81b2-33cc1140cfc6,1667,1667,"Navlai Seva Sangh Sulab Sauchalay,Dhahunkar Chawl,New Link Road,Kandivali (W) Mumbai-67",Solid Waste Management,5,5,RS,@mybmcSWM,19.2113889,72.8347222,BMC/MCGM via OpenCity,mumbai_public_toilets.kml,SOURCE_KML,10,True
6e70dd79-e31e-4e2b-9bc5-801a0bc198b7,1668,1668,"Adharsh Nagar,New Link Road,Kandivali (W) Mumbai-67",Solid Waste Management,2,3,RS,@mybmcSWM,19.2108333,72.8358333,BMC/MCGM via OpenCity,mumbai_public_toilets.kml,SOURCE_KML,5,True
1ad502f0-e7fc-4b32-8ad5-57d92e29c39b,1669,1669,"Prasad Co-Op.Society,New Link Road,Dhanukarwadi,Kandivali (W) Mumbai-67",Solid Waste Management,4,8,RS,@mybmcSWM,19.2061111,72.8355556,BMC/MCGM via OpenCity,mumbai_public_toilets.kml,SOURCE_KML,12,True
c3538993-dc32-490e-a620-4f92999739c4,1670,1670,"Shankar Pada No.2,New Link Road,Kandivali (W) Mumbai-67",Solid Waste Management,3,3,RS,@mybmcSWM,19.2036111,72.8344444,BMC/MCGM via OpenCity,mumbai_public_toilets.kml,SOURCE_KML,6,True
91ea2f2b-7917-417a-a1dd-cb6f02e5c1c6,1671,1671,"Shankar Pada No.2,New Link Road,Kandivali (W) Mumbai-67",Solid Waste Management,4,5,RS,@mybmcSWM,19.2036111,72.8347222,BMC/MCGM via OpenCity,mumbai_public_toilets.kml,SOURCE_KML,9,True
473c114a-3744-4f04-98e7-1899f63bda3c,1672,1672,"Joshiwadi,Meena Sutar Marg,Kandivali (W) Mumbai-67",Solid Waste Management,3,3,RS,@mybmcSWM,19.2047222,72.8444444,BMC/MCGM via OpenCity,mumbai_public_toilets.kml,SOURCE_KML,6,True
030764da-3330-4f00-a195-550d503f7623,1673,1673,"Jay Bajrang Bihari Chawl,Wadar Pada No.1.Kandivali(E)",Solid Waste Management,6,6,RS,@mybmcSWM,19.1938889,72.8641667,BMC/MCGM via OpenCity,mumbai_public_toilets.kml,SOURCE_KML,12,True
08c5cc12-fda2-4a69-8b17-9d03af43ecd7,1674,1674,"Janekata Welfares Society,Shauchalay,Eslam Compound,M.G.Rd.Kandiwali(W),Mumbai-67",Solid Waste Management,2,6,RS,@mybmcSWM,19.2063889,72.8308333,BMC/MCGM via OpenCity,mumbai_public_toilets.kml,SOURCE_KML,8,True
