facility_id,name,service_type,address,ward_code,longitude,latitude,source,source_file,source_id,verification_status,geometry
HC_00350,Deonar MH UPHC,uphc,"Deonar municipal mat. home,Deonar municipal colony,Govandi West ,Mumbai-74",ME,72.92,19.05,Mumbai OpenCity / BMC,Mumbai City UPHCs Map.kml,103,source_verified,POINT Z (72.92 19.05 0)
HC_00351,Shahaji Nagar MH UPHC,uphc,"Near Trombay Police Station , cheeta camp Trombay , Mumbai -88",ME,72.95,19.04,Mumbai OpenCity / BMC,Mumbai City UPHCs Map.kml,104,source_verified,POINT Z (72.95 19.04 0)
HC_00352,Ayodhya Nagar UPHC,uphc,"Near Hindi municipal school ,Ayodhya nagar market road , Vashinaka,Chembur East , Mumbai-74",ME,72.9,19.03,Mumbai OpenCity / BMC,Mumbai City UPHCs Map.kml,105,source_verified,POINT Z (72.9 19.03 0)
HC_00353,Kamala Raman Nagar UPHC,uphc,"Kamala Raman Nagar Disp., Near Bhadra Nursing Home, Bainganwadi, Mumbai - 43.",ME,72.93,19.06,Mumbai OpenCity / BMC,Mumbai City UPHCs Map.kml,106,source_verified,POINT Z (72.93 19.06 0)
HC_00354,Ayodhya Nagar II UPHC,uphc,"Suraksh Society , Building No 4 1st Floor, MMRDA road, Vashinaka, Chembur East ,Mumbai-74",ME,72.9,19.03,Mumbai OpenCity / BMC,Mumbai City UPHCs Map.kml,107,source_verified,POINT Z (72.9 19.03 0)
HC_00355,Matoshri Ramabai Ambedkar MH UPHC,uphc,"R.C.Road, Chembur naka, Chembur East - Mumbai-71",MW,72.89,19.05,Mumbai OpenCity / BMC,Mumbai City UPHCs Map.kml,108,source_verified,POINT Z (72.89 19.05 0)
HC_00356,Chembur Colony UPHC,uphc,"Next to Vaswani Book Depo,Gidwani road, Chembur colony , Mumbai-74",MW,72.89,19.05,Mumbai OpenCity / BMC,Mumbai City UPHCs Map.kml,109,source_verified,POINT Z (72.89 19.05 0)
HC_00357,Lal Dongar UPHC,uphc,"Near Poonam petrol pump, off Sion Trombay road , Chembur Colony ,Chembur East , Mumbai-71",MW,72.89,19.05,Mumbai OpenCity / BMC,Mumbai City UPHCs Map.kml,110,source_verified,POINT Z (72.89 19.05 0)
HC_00358,Pestum Sagar UPHC,uphc,"Near BMC School, P.L.Lokhande Marg,Chembur West , Mumbai -89",MW,72.9,19.06,Mumbai OpenCity / BMC,Mumbai City UPHCs Map.kml,111,source_verified,POINT Z (72.9 19.06 0)
HC_00359,Mahul Village UPHC,uphc,"Mahul SRA Complex, Mahul Village,",MW,72.89,19.01,Mumbai OpenCity / BMC,Mumbai City UPHCs Map.kml,112,source_verified,POINT Z (72.89 19.01 0)
