station_id,station_name,marathi_name,metro_line,layout,platform_layout,status,notes,transport_mode,opening_date,interchange,latitude,longitude,geocode_status,geocode_display_name
MM-065,Sahar Road,सहार रोड,Line 3,Underground,Island,Operational,,Metro,,,19.1155449,72.8473272,MATCHED,"Sahar Road, Andheri East, K/E Ward, Mumbai Zone 3, Mumbai, Mumbai Suburban District, Maharashtra, 400069, India"
MM-066,Saki Naka,साकी नाका,Line 1,Elevated,Side,Operational,,Metro,,,19.108206,72.8828404,MATCHED,"Saki Naka, K/E Ward, Mumbai Zone 3, Mumbai, Mumbai Suburban District, Maharashtra, 400072, India"
MM-067,Santacruz,सांताक्रुझ,Line 3,Underground,Island,Operational,Transfer station to Santacruz railway station,Metro,,Transfer station to Santacruz railway station,19.0789383,72.8446344,MATCHED,"M R Medical, Santacruz, Road No 11, Anand Nagar, Golibar, H/E Ward, Mumbai Zone 3, Mumbai, Mumbai Suburban District, Maharashtra, 400055, India"
MM-068,Science Centre,विज्ञान केंद्र,Line 3,Underground,Island,Operational,,Metro,,,18.9908949,72.8213521,MATCHED,"Science Centre, Dr E Moses Marg, Mariammar Nagar, Mahalakshmi, G/S Ward, Mumbai Zone 2, Mumbai City District, Maharashtra, 400018, India"
MM-069,SEEPZ,सीप्झ,Line 3,Underground,Island,Operational,,Metro,,,19.1253556,72.8751702,MATCHED,"SEEPZ, MIDC, K/E Ward, Mumbai Zone 3, Mumbai, Mumbai Suburban District, Maharashtra, India"
MM-070,Shimpoli,शिंपोली,Line 2A,Elevated,Side,Operational,,Metro,,,19.2238836,72.8476854,MATCHED,"Shimpoli, R/C Ward, Mumbai Zone 4, Mumbai Suburban District, Maharashtra, 400091, India"
MM-071,Shitaladevi Mandir,शितलादेवी मंदिर,Line 3,Underground,Island,Operational,,Metro,,,,,NOT_FOUND,
MM-072,Siddhivinayak,सिद्धिविनायक,Line 3,Underground,Island,Operational,,Metro,,,19.0587317,72.8384547,MATCHED,"Siddhivinayak, R. B. Vasudevrao Anant Bambardekar Road, Khar, H/W Ward, Mumbai Zone 3, Mumbai, Mumbai Suburban District, Maharashtra, 400050, India"
MM-073,Valnai–Meeth Chowky,वळनई–मीठ चौकी,Line 2A,Elevated,Side,Operational,,Metro,,,19.1968293,72.8337752,MATCHED,"Valnai-Meeth Chowky, Link Road, Orlem, P/N Ward, Mumbai Zone 4, Mumbai Suburban District, Maharashtra, 400064, India"
MM-074,Versova,वर्सोवा,Line 1,Elevated,Side,Operational,,Metro,,,19.1302521,72.8213775,MATCHED,"Versova, Balasaheb Sawant Road, Seven Bungalows, Versova, K/W Ward, Mumbai Zone 3, Mumbai, Mumbai Suburban District, Maharashtra, 400061, India"
MM-075,Vidhan Bhavan,विधान भवन,Line 3,Underground,Island,Operational,,Metro,,,18.9262345,72.8241734,MATCHED,"Vidhan Bhavan, Jamnalal Bajaj Road, Nariman Point, Colaba, A Ward, Mumbai Zone 1, Mumbai City District, Maharashtra, 400021, India"
MM-076,Western Express Highway,पश्चिम द्रुतगती महामार्ग,Line 1,Elevated,Side,Operational,"Interchange with Line 7 ""Red Line (Mumbai Metro)"") on Gundavali",Metro,,"Interchange with Line 7 ""Red Line (Mumbai Metro)"") on Gundavali",19.0675032,72.8465996,MATCHED,"Western Express Highway, RPF Colony, Kherwadi, H/E Ward, Mumbai Zone 3, Mumbai, Mumbai Suburban District, Maharashtra, 400055, India"
MM-077,Worli,वरळी,Line 3,Underground,Island,Operational,,Metro,,,19.0117388,72.8178706,MATCHED,"Worli, G/S Ward, Mumbai Zone 2, Mumbai City District, Maharashtra, 400030, India"
