transport_id,object_id,transport_name,transport_type,best_bus_stop_name,bus_depot_name,address,ward_code_source,best_app,best_help,twitter_handle,website,latitude,longitude,style_url,source_file,source,coordinate_valid,gis_ward,validation_status
STOP_3896,3896,ANIRUDDHA BHAVAN,BUS_STOP,ANIRUDDHA BHAVAN,,,,"Android - https://bit.ly/3clkZsf, iOS - https://tinyurl.com/4ebk4r6k",1800227550,@myBESTBus,www.bestundertaking.com,19.053092,73.016535,#mumbai_best_stops_style,mumbai_best_stops_depots.kml,BMC / OpenCity Mumbai BEST Stops and Depots dataset,True,,UNMATCHED
STOP_3897,3897,SARVODAYA NAGAR (JOGESHWARI-E),BUS_STOP,SARVODAYA NAGAR (JOGESHWARI-E),,,,"Android - https://bit.ly/3clkZsf, iOS - https://tinyurl.com/4ebk4r6k",1800227550,@myBESTBus,www.bestundertaking.com,19.134482,72.863558,#mumbai_best_stops_style,mumbai_best_stops_depots.kml,BMC / OpenCity Mumbai BEST Stops and Depots dataset,True,KE,GIS_MATCH
STOP_3898,3898,"MAHARASHTRA NATURE PARK, P.M.G.P COLONY (DHARAVI)",BUS_STOP,"MAHARASHTRA NATURE PARK, P.M.G.P COLONY (DHARAVI)",,,,"Android - https://bit.ly/3clkZsf, iOS - https://tinyurl.com/4ebk4r6k",1800227550,@myBESTBus,www.bestundertaking.com,19.051602,72.86182,#mumbai_best_stops_style,mumbai_best_stops_depots.kml,BMC / OpenCity Mumbai BEST Stops and Depots dataset,True,GN,GIS_MATCH
STOP_3899,3899,PUSHPA PARK (MALAD-E),BUS_STOP,PUSHPA PARK (MALAD-E),,,,"Android - https://bit.ly/3clkZsf, iOS - https://tinyurl.com/4ebk4r6k",1800227550,@myBESTBus,www.bestundertaking.com,19.188584,72.857964,#mumbai_best_stops_style,mumbai_best_stops_depots.kml,BMC / OpenCity Mumbai BEST Stops and Depots dataset,True,PN,GIS_MATCH
STOP_3900,3900,INTER STATE BUS STATION (ANIK),BUS_STOP,INTER STATE BUS STATION (ANIK),,,,"Android - https://bit.ly/3clkZsf, iOS - https://tinyurl.com/4ebk4r6k",1800227550,@myBESTBus,www.bestundertaking.com,19.042504,72.878497,#mumbai_best_stops_style,mumbai_best_stops_depots.kml,BMC / OpenCity Mumbai BEST Stops and Depots dataset,True,FN,GIS_MATCH
STOP_3901,3901,LALJIPADA,BUS_STOP,LALJIPADA,,,,"Android - https://bit.ly/3clkZsf, iOS - https://tinyurl.com/4ebk4r6k",1800227550,@myBESTBus,www.bestundertaking.com,19.202491,72.834106,#mumbai_best_stops_style,mumbai_best_stops_depots.kml,BMC / OpenCity Mumbai BEST Stops and Depots dataset,True,RS,GIS_MATCH
STOP_3902,3902,JAWAHAR NAGAR (GOREGAON-W),BUS_STOP,JAWAHAR NAGAR (GOREGAON-W),,,,"Android - https://bit.ly/3clkZsf, iOS - https://tinyurl.com/4ebk4r6k",1800227550,@myBESTBus,www.bestundertaking.com,19.160635,72.845879,#mumbai_best_stops_style,mumbai_best_stops_depots.kml,BMC / OpenCity Mumbai BEST Stops and Depots dataset,True,PS,GIS_MATCH
STOP_3903,3903,M.H.B.COLONY (BORIVALI -W),BUS_STOP,M.H.B.COLONY (BORIVALI -W),,,,"Android - https://bit.ly/3clkZsf, iOS - https://tinyurl.com/4ebk4r6k",1800227550,@myBESTBus,www.bestundertaking.com,19.230634,72.837927,#mumbai_best_stops_style,mumbai_best_stops_depots.kml,BMC / OpenCity Mumbai BEST Stops and Depots dataset,True,RC,GIS_MATCH
STOP_3904,3904,SIMPLEX MILL,BUS_STOP,SIMPLEX MILL,,,,"Android - https://bit.ly/3clkZsf, iOS - https://tinyurl.com/4ebk4r6k",1800227550,@myBESTBus,www.bestundertaking.com,18.979978,72.83097,#mumbai_best_stops_style,mumbai_best_stops_depots.kml,BMC / OpenCity Mumbai BEST Stops and Depots dataset,True,E,GIS_MATCH
STOP_3905,3905,CHOKSI HOSPITAL,BUS_STOP,CHOKSI HOSPITAL,,,,"Android - https://bit.ly/3clkZsf, iOS - https://tinyurl.com/4ebk4r6k",1800227550,@myBESTBus,www.bestundertaking.com,19.191892,72.844812,#mumbai_best_stops_style,mumbai_best_stops_depots.kml,BMC / OpenCity Mumbai BEST Stops and Depots dataset,True,PN,GIS_MATCH
STOP_3906,3906,JUHU NAGAR (VASHI),BUS_STOP,JUHU NAGAR (VASHI),,,,"Android - https://bit.ly/3clkZsf, iOS - https://tinyurl.com/4ebk4r6k",1800227550,@myBESTBus,www.bestundertaking.com,19.084752,73.001855,#mumbai_best_stops_style,mumbai_best_stops_depots.kml,BMC / OpenCity Mumbai BEST Stops and Depots dataset,True,,UNMATCHED
STOP_3907,3907,MAZGAON DOCK,BUS_STOP,MAZGAON DOCK,,,,"Android - https://bit.ly/3clkZsf, iOS - https://tinyurl.com/4ebk4r6k",1800227550,@myBESTBus,www.bestundertaking.com,18.965597,72.847105,#mumbai_best_stops_style,mumbai_best_stops_depots.kml,BMC / OpenCity Mumbai BEST Stops and Depots dataset,True,E,GIS_MATCH
STOP_3908,3908,SEEPZ BUS STATION,BUS_STOP,SEEPZ BUS STATION,,,,"Android - https://bit.ly/3clkZsf, iOS - https://tinyurl.com/4ebk4r6k",1800227550,@myBESTBus,www.bestundertaking.com,19.124377,72.872308,#mumbai_best_stops_style,mumbai_best_stops_depots.kml,BMC / OpenCity Mumbai BEST Stops and Depots dataset,True,KE,GIS_MATCH
STOP_3909,3909,GORAI CREEK,BUS_STOP,GORAI CREEK,,,,"Android - https://bit.ly/3clkZsf, iOS - https://tinyurl.com/4ebk4r6k",1800227550,@myBESTBus,www.bestundertaking.com,19.232983,72.824763,#mumbai_best_stops_style,mumbai_best_stops_depots.kml,BMC / OpenCity Mumbai BEST Stops and Depots dataset,True,RC,GIS_MATCH
STOP_3910,3910,NAVA GAON (DAHISAR-W),BUS_STOP,NAVA GAON (DAHISAR-W),,,,"Android - https://bit.ly/3clkZsf, iOS - https://tinyurl.com/4ebk4r6k",1800227550,@myBESTBus,www.bestundertaking.com,19.251368,72.853864,#mumbai_best_stops_style,mumbai_best_stops_depots.kml,BMC / OpenCity Mumbai BEST Stops and Depots dataset,True,RN,GIS_MATCH
STOP_3911,3911,SUVIDHYA SCHOOL (GORAI),BUS_STOP,SUVIDHYA SCHOOL (GORAI),,,,"Android - https://bit.ly/3clkZsf, iOS - https://tinyurl.com/4ebk4r6k",1800227550,@myBESTBus,www.bestundertaking.com,19.229281,72.828484,#mumbai_best_stops_style,mumbai_best_stops_depots.kml,BMC / OpenCity Mumbai BEST Stops and Depots dataset,True,RC,GIS_MATCH
STOP_3912,3912,ANTOP HILL BUS STATION,BUS_STOP,ANTOP HILL BUS STATION,,,,"Android - https://bit.ly/3clkZsf, iOS - https://tinyurl.com/4ebk4r6k",1800227550,@myBESTBus,www.bestundertaking.com,19.026453,72.866195,#mumbai_best_stops_style,mumbai_best_stops_depots.kml,BMC / OpenCity Mumbai BEST Stops and Depots dataset,True,FN,GIS_MATCH
