pseudocode,lgd_ward_name,bmc_ward_code,pincode
1994929,M/East - Ward No. 143,ME,400088
9961517,D - Ward No. 214,D,400007
9081410,M/East - Ward No. 136,ME,400043
7197061,G/South - Ward No. 194,GS,400028
2406437,N - Ward No. 130,N,400086
1400212,L - Ward No. 167,L,400070
1605466,G/North - Ward No. 182,GN,400016
5334335,K/East - Ward No. 74,KE,400093
1094742,K/East - Ward No. 73,KE,400060
7714723,N - Ward No. 126,N,400086
9143852,R/Central - Ward No. 18,RC,400067
3281039,F/North - Ward No. 177,FN,400031
7837910,H/East - Ward No. 94,HE,400055
1645486,R/South - Ward No. 25,RS,400101
3577124,M/West - Ward No. 154,MW,400074
6703765,P/North - Ward No. 33,PN,400095
9112417,E - Ward No. 210,E,400010
7881294,M/East - Ward No. 139,ME,400043
9866177,R/South - Ward No. 20,RS,400067
7553451,E - Ward No. 211,E,400008
4082113,K/West - Ward No. 69,KW,400058
1313782,K/West - Ward No. 70,KW,400058
6951259,R/South - Ward No. 22,RS,400067
8242269,K/West - Ward No. 66,KW,400058
9442460,H/East - Ward No. 93,HE,400051
9773823,R/Central - Ward No. 9,RC,400092
7052951,L - Ward No. 157,L,400072
3964759,S - Ward No. 115,S,400078
5373982,P/South - Ward No. 58,PS,400102
2563054,K/East - Ward No. 72,KE,400060
