station_id,latitude,longitude,geocode_status,geocode_display_name
MM-170,19.0780655,73.0059891,MATCHED,"RTO Ground, Turbhe, Navi Mumbai, Thane Subdistrict, Thane, Maharashtra, 400703, India"
MM-171,19.0609334,72.8844893,MATCHED,"SG Barve Marg, Nehru Nagar, Kurla East, L Ward, Mumbai Zone 5, Mumbai, Mumbai Suburban District, Maharashtra, 400024, India"
MM-172,,,NOT_FOUND,
MM-173,19.0466943,72.8268434,MATCHED,"Sagar Sangam, 28, Padmabhushan Jagjit Singh Chowk, Mount Mary, H/W Ward, Mumbai Zone 3, Mumbai, Mumbai Suburban District, Maharashtra, 400050, India"
MM-174,,,NOT_FOUND,
MM-175,19.0627075,72.8910418,MATCHED,"Sai Baba Nagar, Chembur, M/W Ward, Mumbai Zone 5, Mumbai, Mumbai Suburban District, Maharashtra, 400089, India"
MM-176,19.1285833,72.8958527,MATCHED,"Saki Vihar Road, Paspoli Village, Powai, S Ward, Mumbai Zone 6, Mumbai, Mumbai Suburban District, Maharashtra, 400087, India"
MM-177,19.0659774,73.0095329,MATCHED,"Sanpada, Sanpada Station Road, Sanpada, Navi Mumbai, Thane Subdistrict, Thane, Maharashtra, 400706, India"
MM-178,19.0746681,72.8375532,MATCHED,"Saraswat Nagar, Swami Vivekanand Road, Ram Krishna Nagar, Santacruz West, Bandra West, Mumbai Zone 3, Mumbai, Mumbai Suburban District, Maharashtra, 400052, India"
MM-179,19.0216748,73.0186236,MATCHED,"Seawoods Grand Central Mall, Seawoods, Seawoods Station Road, Sector-42, Seawoods East, Navi Mumbai, Thane Subdistrict, Thane, Maharashtra, 400706, India"
MM-180,19.1304889,72.8749334,MATCHED,"SEEPZ Village Bus Stn(Temporary), SEEPZ VILLAGE, MIDC, K/E Ward, Mumbai Zone 3, Mumbai, Mumbai Suburban District, Maharashtra, India"
MM-181,18.9987796,72.8544218,MATCHED,"Sewri, Eastern Freeway, Sadbhavana Nagar, Sewri, F/S Ward, Mumbai Zone 2, Mumbai City District, Maharashtra, 400015, India"
MM-182,,,NOT_FOUND,
MM-183,19.0627427,72.8321013,MATCHED,"Shangrila, Khar, Bandra West, Mumbai Zone 3, Mumbai, Mumbai Suburban District, Maharashtra, 400050, India"
MM-184,,,NOT_FOUND,
