facility_id,name,service_type,source_ward,gis_ward,latitude,longitude,coordinate_status,name_status
HC_00273,MH School Compund UPHC,uphc,GS,GS,19.0,72.83,shared_coordinate,unique_name
HC_00274,Worli Koliwada UPHC,uphc,GS,,18.9615,72.8517,shared_coordinate,unique_name
HC_00275,Sasmira UPHC,uphc,GS,GS,19.01,72.82,shared_coordinate,unique_name
HC_00276,Curry Road UPHC,uphc,GS,GS,18.99,72.83,shared_coordinate,unique_name
HC_00278,Bai Gulbai UPHC,uphc,GN,GN,19.02,72.84,shared_coordinate,unique_name
HC_00279,Mahim MH UPHC,uphc,GN,GN,19.0328,72.8402,shared_coordinate,unique_name
HC_00280,Welkarwadi UPHC,uphc,GN,GN,19.04,72.84,shared_coordinate,unique_name
HC_00281,Kumbharwada UPHC,uphc,GN,GN,19.04,72.85,shared_coordinate,unique_name
HC_00282,Urban Health Centre UPHC,uphc,GN,GN,19.04,72.85,shared_coordinate,unique_name
HC_00283,Pila Bunglow UPHC,uphc,GN,GN,19.05,72.86,shared_coordinate,unique_name
HC_00284,Shanti Nagar UPHC,uphc,HE,HE,19.08,72.85,shared_coordinate,unique_name
HC_00285,Swami Vivekanand Nagar UPHC,uphc,HE,HE,19.08,72.85,shared_coordinate,unique_name
HC_00286,Golibar UPHC,uphc,HE,HW,19.07,72.84,shared_coordinate,unique_name
HC_00287,Kalina UPHC,uphc,HE,HE,19.08,72.86,shared_coordinate,unique_name
HC_00288,Bharat Nagar II UPHC,uphc,HE,HE,19.06,72.86,shared_coordinate,unique_name
HC_00289,Kherwadi MH UPHC,uphc,HE,HE,19.06,72.85,shared_coordinate,unique_name
HC_00290,Gurunanak UPHC,uphc,HW,HW,19.07,72.83,shared_coordinate,unique_name
HC_00291,Shastri Nagar UPHC,uphc,HW,HW,19.09,72.84,shared_coordinate,duplicate_name
HC_00292,Natwar Nagar UPHC,uphc,KE,KE,19.13,72.85,shared_coordinate,unique_name
HC_00293,Sambhaji Nagar UPHC,uphc,KE,KE,19.11,72.85,shared_coordinate,unique_name
HC_00294,Sahar Road UPHC,uphc,KE,KE,19.11,72.85,shared_coordinate,unique_name
HC_00295,VN Shirodkar MH UPHC,uphc,KE,KE,19.11,72.85,shared_coordinate,unique_name
HC_00296,Squatters Coloney MH UPHC,uphc,KE,KE,19.14,72.86,shared_coordinate,unique_name
HC_00297,Marol MH UPHC,uphc,KE,KE,19.11,72.88,shared_coordinate,unique_name
HC_00298,Versova UPHC,uphc,KW,KW,19.14,72.81,shared_coordinate,unique_name
HC_00299,Nusserwanji Jahangirji Wadia UPHC,uphc,KW,KE,19.12,72.85,shared_coordinate,unique_name
HC_00300,Oshiwara MH UPHC,uphc,KW,PS,19.15,72.85,shared_coordinate,unique_name
HC_00301,Banana Leaf UPHC,uphc,KW,KE,19.13,72.85,shared_coordinate,unique_name
HC_00303,Sundar Nagar UPHC,uphc,PS,S,19.1246,72.8962,shared_coordinate,unique_name
HC_00304,Topiwala Maternity Home Goregaon UPHC,uphc,PS,PS,19.17,72.85,shared_coordinate,unique_name
HC_00305,Riddhi Garden MH UPHC,uphc,PN,PN,19.18,72.87,shared_coordinate,unique_name
HC_00306,Rathodi Village UPHC,uphc,PN,PN,19.19,72.82,shared_coordinate,unique_name
