pseudocode,state,district,block,rural_urban,lgd_urban_local_body_name,lgd_ward_name,lgd_vill_name,lgd_vill_panchayat_name,lgd_block_name,school_category,school_type,lowclass,highclass,managment,pincode,special_school_for_cwsn,shift_school,resi_school,resi_type,minority_school,medium_instr1,medium_of_instr2,medium_of_instr3,medium_of_instr4,aff_board_sec,aff_board_hsec,approachable_road,pre_primary,anganwadi_yn,avg_instr_days,cce_yn,same_sch_b,same_sch_g,other_sch_b,other_sch_g,anganwadi_ecce_b,anganwadi_ecce_g
2050971,"MAHARASHTRA","MUMBAI II","MUMBAI_DYD_URC2 ( SION )",2,"Greater Mumbai_Municipal Corporations","E - Ward No. 209",,,,6,3,1,10,5,400008,2,2,3,0,1,19,0,0,0,2,0,1,2,9,0,1,6,11,4,1,0,0
4216673,"MAHARASHTRA","MUMBAI II","MUMBAI_DYD_URC1 ( GRANT ROAD )",2,"Greater Mumbai_Municipal Corporations","D - Ward No. 218",,,,6,3,5,10,5,400004,2,2,3,0,1,19,0,0,0,2,0,1,9,9,0,1,0,0,0,0,0,0
4442343,"MAHARASHTRA","MUMBAI II","MUMBAI_DYD_URC6 ( MALAD (W) )",2,"Greater Mumbai_Municipal Corporations","P/North - Ward No. 38",,,,6,3,5,10,4,400097,2,1,3,0,1,4,0,0,0,2,0,1,9,2,218,1,0,0,0,0,0,0
9914907,"MAHARASHTRA","MUMBAI II","MUMBAI_DYD_URC6 ( MALAD (W) )",2,"Greater Mumbai_Municipal Corporations","K/West - Ward No. 62",,,,6,3,5,10,5,400102,2,1,3,0,1,19,10,4,0,2,0,1,9,9,230,1,0,0,0,0,0,0
5325726,"MAHARASHTRA","MUMBAI II","MUMBAI_DYD_URC2 ( SION )",2,"Greater Mumbai_Municipal Corporations","G/North - Ward No. 184",,,,7,3,8,10,5,400017,2,2,3,0,1,16,0,0,0,2,0,1,9,9,220,1,0,0,0,0,0,0
3027324,"MAHARASHTRA","MUMBAI II","MUMBAI_DYD_URC7 ( KANDIVALI (E) )",2,"Greater Mumbai_Municipal Corporations","P/North - Ward No. 39",,,,6,3,5,10,4,400101,2,2,3,0,2,10,4,19,0,2,0,1,9,2,222,1,0,0,0,0,0,0
6942909,"MAHARASHTRA","MUMBAI II","MUMBAI_DYD_URC6 ( MALAD (W) )",2,"Greater Mumbai_Municipal Corporations","P/North - Ward No. 38",,,,6,3,5,10,4,400097,2,2,3,0,2,4,0,0,0,2,0,1,9,2,220,2,0,0,0,0,0,0
9216638,"MAHARASHTRA","MUMBAI II","MUMBAI_DYD_URC7 ( KANDIVALI (E) )",2,"Greater Mumbai_Municipal Corporations","R/South - Ward No. 26",,,,6,3,5,10,5,400101,2,2,3,0,2,19,0,0,0,2,0,1,9,9,221,1,0,0,0,0,0,0
7743663,"MAHARASHTRA","MUMBAI II","MUMBAI_DYD_URC4 ( MULUND )",2,"Greater Mumbai_Municipal Corporations","L - Ward No. 159",,,,8,3,9,10,5,400072,2,2,3,0,2,19,0,0,0,2,0,1,9,9,207,1,0,0,0,0,0,0
7202385,"MAHARASHTRA","MUMBAI II","MUMBAI_DYD_URC7 ( KANDIVALI (E) )",2,"Greater Mumbai_Municipal Corporations","R/South - Ward No. 19",,,,6,3,5,10,5,400067,2,1,3,0,2,19,0,0,0,2,0,1,9,9,0,1,0,0,0,0,0,0
5051153,"MAHARASHTRA","MUMBAI II","MUMBAI_DYD_URC2 ( SION )",2,"Greater Mumbai_Municipal Corporations","F/South - Ward No. 204",,,,6,3,5,10,5,400033,2,2,3,0,2,19,0,0,0,2,0,1,9,9,0,1,0,0,0,0,0,0
9036515,"MAHARASHTRA","MUMBAI II","MUMBAI_DYD_URC4 ( MULUND )",2,"Greater Mumbai_Municipal Corporations","L - Ward No. 165",,,,6,3,1,10,5,400070,2,1,3,0,2,19,0,0,0,3,0,1,2,9,0,1,53,24,1,0,0,0
7799462,"MAHARASHTRA","MUMBAI II","MUMBAI_DYD_URC6 ( MALAD (W) )",2,"Greater Mumbai_Municipal Corporations","P/South - Ward No. 54",,,,6,3,1,10,5,400102,2,2,3,0,1,19,4,10,0,3,0,1,1,9,0,2,27,23,12,9,0,0
3570897,"MAHARASHTRA","MUMBAI II","MUMBAI_DYD_URC3 ( GHATKOPAR )",2,"Greater Mumbai_Municipal Corporations","M/East - Ward No. 138",,,,6,3,5,10,4,400043,2,1,3,0,2,4,10,19,0,2,0,1,9,2,0,1,0,0,0,0,0,0
8903927,"MAHARASHTRA","MUMBAI II","MUMBAI_DYD_URC4 ( MULUND )",2,"Greater Mumbai_Municipal Corporations","L - Ward No. 157",,,,6,3,5,10,4,400072,2,2,3,0,2,10,0,0,0,2,0,1,9,2,0,1,0,0,0,0,0,0
9673690,"MAHARASHTRA","MUMBAI II","MUMBAI_DYD_URC6 ( MALAD (W) )",2,"Greater Mumbai_Municipal Corporations","K/West - Ward No. 66",,,,6,3,5,10,5,400056,2,2,3,0,1,19,0,0,0,2,0,1,9,9,188,1,0,0,0,0,0,0
9818593,"MAHARASHTRA","MUMBAI II","MUMBAI_DYD_URC7 ( KANDIVALI (E) )",2,"Greater Mumbai_Municipal Corporations","R/North - Ward No. 3",,,,6,3,1,10,5,400068,2,2,3,0,1,19,0,0,0,3,0,1,2,9,0,1,83,75,29,18,0,0
2557110,"MAHARASHTRA","MUMBAI II","MUMBAI_DYD_URC1 ( GRANT ROAD )",2,"Greater Mumbai_Municipal Corporations","B - Ward No. 224",,,,8,3,9,10,5,400003,2,2,3,0,1,19,0,0,0,2,0,1,9,9,0,1,0,0,0,0,0,0
1763522,"MAHARASHTRA","MUMBAI II","MUMBAI_DYD_URC4 ( MULUND )",2,"Greater Mumbai_Municipal Corporations","S - Ward No. 121",,,,7,3,8,10,5,400087,2,2,3,0,2,19,4,10,0,2,0,1,9,9,0,1,0,0,0,0,0,0
8270988,"MAHARASHTRA","MUMBAI II","MUMBAI_DYD_URC4 ( MULUND )",2,"Greater Mumbai_Municipal Corporations","L - Ward No. 159",,,,6,3,5,10,5,400072,2,1,3,0,1,19,0,0,0,2,0,1,9,9,200,1,0,0,0,0,0,0
6481002,"MAHARASHTRA","MUMBAI II","MUMBAI_DYD_URC4 ( MULUND )",2,"Greater Mumbai_Municipal Corporations","L - Ward No. 161",,,,6,3,5,10,4,400072,2,2,3,0,1,18,0,0,0,2,0,1,9,2,222,2,0,0,0,0,0,0
1565655,"MAHARASHTRA","MUMBAI II","MUMBAI_DYD_URC5 ( ANDHERI )",2,"Greater Mumbai_Municipal Corporations","H/West - Ward No. 97",,,,6,3,5,10,5,400054,2,2,3,0,1,19,0,0,0,2,0,1,9,9,0,1,0,0,0,0,0,0
2785385,"MAHARASHTRA","MUMBAI II","MUMBAI_DYD_URC4 ( MULUND )",2,"Greater Mumbai_Municipal Corporations","S - Ward No. 117",,,,7,3,8,10,4,400042,2,2,3,0,2,10,0,0,0,2,0,1,9,0,0,1,0,0,0,0,0,0
