pseudocode,building_status,no_building_blocks,pucca_building_blocks,boundary_wall,total_class_rooms,other_rooms,classrooms_in_good_condition,classrooms_needs_minor_repair,classrooms_needs_major_repair,separate_room_for_hm,total_boys_toilet,total_boys_func_toilet,total_girls_toilet,total_girls_func_toilet,total_boys_cwsn_toilet,func_boys_cwsn_friendly,total_girls_cwsn_toilet,func_girls_cwsn_friendly,urinal_boys,urinal_girls,handwash_near_toilet,hand_pump_yn,well_prot_yn,tap_yn,othsrc_yn,well_unprot_yn,pack_water_yn,hand_pump_fun_yn,well_prot_fun_yn,tap_fun_yn,othsrc_fun_yn,well_unprot_fun_yn,pack_water_fun_yn,rain_water_harvesting,handwash_facility_for_meal,electricity_availability,solar_panel,library_availability,book_bank,reading_corner,playground_available,playground_alt_yn,medical_checkups,availability_ramps,availability_of_handrails,furniture_availability,phy_lab_cond,chem_lab_cond,bio_lab_cond,math_lab_cond,lang_lab_cond,geo_lab_cond,home_sc_lab_cond,psycho_lab_cond,comp_lab_cond,comp_ict_lab_yn,ict_lab_yn,laptop,tablet,desktop,digiboard,teachdev_tot,server_tot,smart_class_tv_tot,projector,printer,internet,dth,spl_educator_yn
7081352,2,0,1,1,0,12,18,0,0,1,4,4,19,19,2,2,2,2,15,15,1,2,2,1,2,2,2,2,2,1,2,2,2,2,1,1,3,1,1,1,1,9,1,1,1,1,0,0,0,0,0,0,0,0,0,1,2,2,0,45,0,45,1,0,1,7,1,2,3
6228553,2,0,1,7,0,7,16,0,0,1,6,6,8,8,2,2,2,2,8,10,1,2,2,1,2,2,2,2,2,1,2,2,2,2,1,1,2,1,1,1,1,9,1,1,1,1,1,1,1,1,3,3,3,3,1,1,9,3,4,31,0,12,3,12,12,5,1,1,3
2248119,1,0,1,1,0,15,43,0,0,1,12,12,8,8,12,12,4,4,12,12,1,2,2,1,2,2,2,2,2,1,2,2,2,1,1,1,2,1,2,1,1,9,1,1,1,1,0,0,0,0,0,0,0,0,0,1,9,5,0,110,0,0,1,43,5,5,1,2,1
2473111,1,0,6,5,0,6,6,0,0,1,3,3,3,3,1,1,1,1,2,2,1,2,2,1,2,2,2,2,2,1,2,2,2,2,1,1,2,1,1,1,1,9,1,1,1,1,0,0,0,0,0,0,0,0,0,2,2,1,0,6,0,2,1,1,1,1,1,2,1
8766945,1,0,1,1,0,8,10,0,0,1,10,10,10,10,4,4,4,4,8,8,1,1,2,1,2,2,2,1,2,1,2,2,2,1,1,1,2,1,1,1,1,9,1,1,1,1,3,3,3,3,3,3,3,3,1,1,1,1,1,1,0,0,1,1,1,1,1,2,1
8800549,1,0,1,1,0,4,10,0,0,1,4,4,4,4,0,0,0,0,4,4,1,2,2,1,2,2,2,2,2,1,2,2,2,2,1,1,1,1,2,2,1,9,1,2,9,1,0,0,0,0,0,0,0,0,0,1,9,4,0,35,0,0,0,0,2,4,1,2,3
3675779,2,0,1,1,0,4,3,0,0,1,1,1,1,1,1,1,1,1,4,4,1,2,2,1,2,2,2,2,2,1,2,2,2,2,1,1,2,1,1,1,1,9,1,1,1,1,0,0,0,0,0,0,0,0,0,1,9,1,0,5,0,4,1,0,1,1,1,2,2
6787215,2,0,1,1,0,8,7,4,0,1,0,0,10,10,0,0,1,1,0,11,1,2,2,1,2,2,2,2,2,1,2,2,2,2,1,1,2,1,2,1,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,12,0,0,0,0,1,3,1,2,2
2537256,2,0,2,1,0,14,22,0,0,1,6,6,7,7,1,1,1,1,16,7,1,2,1,1,2,2,2,2,1,1,2,2,2,2,1,1,2,1,2,1,1,9,1,1,1,1,0,0,0,0,0,0,0,0,0,1,2,1,0,5,0,30,2,22,1,3,1,2,3
8696544,2,0,2,1,0,22,20,0,0,1,0,0,40,40,0,0,15,15,0,0,1,2,2,1,1,2,2,2,2,1,1,2,2,1,1,1,2,1,1,1,1,9,1,1,1,1,0,0,0,0,0,0,0,0,0,1,9,3,0,13,1500,90,7,25,26,13,1,2,3
