pseudocode,total_tch,male,female,transgender,gen_tch,sc_tch,st_tch,obc_tch,regular,contract,part_time,below_graduate,graduate,post_graduate_and_above,trained_comp,class_taught_pr,class_taught_upr,class_taught_pr_upr,class_taught_sec_only,class_taught_hsec_only,class_taught_upr_sec,class_taught_sec_hsec,class_taugt_pre_primary_only,class_taught_pr_and_pre_pri,teacher_involve_non_training_assignment,diploma_certificate,bachelor_of_ee,bed_equivalent,med_equivalent,other,none,diploma_special_edu,pursuing_rpc,diploma_ele_edu,early_childhood_tch,bed_nursery,trained_cwsn
2557110,4,0,4,0,4,0,0,0,4,0,0,0,1,3,4,0,0,0,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
2563054,25,8,17,0,24,0,0,1,25,0,0,1,12,12,9,0,1,1,19,0,4,0,0,0,5,1,0,19,2,1,1,0,1,0,0,0,1
2565129,18,3,15,0,17,1,0,0,10,8,0,0,4,14,11,0,0,0,0,18,0,0,0,0,0,0,0,10,1,2,4,0,1,0,0,0,0
2569538,44,0,44,0,44,0,0,0,44,0,0,3,24,17,38,5,12,0,15,0,12,0,0,0,38,0,0,26,2,15,0,0,1,0,0,0,1
2587279,11,0,11,0,11,0,0,0,6,5,0,0,9,2,10,0,0,0,3,0,8,0,0,0,2,0,0,10,0,1,0,0,0,0,0,0,0
2590817,11,4,7,0,4,2,1,2,11,0,0,0,5,6,11,0,2,0,2,0,7,0,0,0,0,1,0,10,0,0,0,0,0,0,0,0,10
2591292,19,10,9,0,6,5,1,6,19,0,0,0,12,7,17,4,5,0,10,0,0,0,0,0,0,4,0,14,1,0,0,0,0,0,0,0,0
2591682,106,18,88,0,95,2,2,5,102,4,0,2,32,72,89,42,3,4,27,3,11,16,0,0,105,2,0,75,6,20,1,0,1,1,0,0,15
2593711,5,1,4,0,4,0,0,1,5,0,0,1,4,0,4,0,0,0,5,0,0,0,0,0,4,0,0,5,0,0,0,0,0,0,0,0,4
2594466,20,6,14,0,12,1,2,5,20,0,0,1,12,7,18,0,7,1,12,0,0,0,0,0,0,3,0,10,5,0,0,1,1,0,0,0,0
2599665,21,13,8,0,21,0,0,0,21,0,0,0,18,3,3,6,6,0,6,3,0,0,0,0,3,0,0,21,0,0,0,0,0,0,0,0,0
2601939,22,2,20,0,7,5,2,3,21,0,1,0,10,12,3,2,5,0,3,6,6,0,0,0,0,6,0,14,1,0,1,0,0,0,0,0,1
